system,study,month,day,horizon,ramp_multiplier,upward_adder_fraction,forecast_type,forecast_model,forecast_rho,sigma_rel,seed,shortage_penalty,loc_rp,loc_rp_energy,loc_la,loc_tlmp,delta_la_rp,shed_rp_mwh,shed_la_mwh,spill_rp_mwh,spill_la_mwh,short_up_mwh,short_down_mwh,rcup_active_share,rcdn_active_share,max_rcup,max_tlmp_adjustment,rp_bind_share,la_bind_share,emergency_rp_mwh,emergency_la_mwh
10gen,natural_day_ahead,10,12,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,149356.5371481381,228275.89635526843,27433298.96317531,0.0,27283942.426027175,0.0,0.0,8.620196011249396,1491.0204192842061,1535.1859526098917,0.0,0.3541666666666667,0.0625,65.0,3560.0,0.02013888888888889,0.017708333333333333,8.620196011249396,1491.0204192842061
10gen,natural_day_ahead,10,13,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,0.0,84.19808060194919,166748.3292937985,0.0,166748.3292937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763888888888889,0.0,173.0,0.0,0.00034722222222222224,0.0,0.0
10gen,natural_day_ahead,10,14,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,0.0,0.0,54669.92491881559,0.0,54669.92491881559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
10gen,natural_day_ahead,10,15,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,0.0,0.0,51323.962120538396,0.0,51323.962120538396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
10gen,natural_day_ahead,10,16,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,23.302738599682925,23.302738599682925,26165.084554316192,0.0,26141.78181571651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.001388888888888889,0.0010416666666666667,0.0,0.0
10gen,natural_day_ahead,10,17,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,279.94139080267996,601.3022429885896,12224026.252097234,0.0,12223746.310706431,0.0,0.0,0.0,83.08115255980537,26.49569021129986,0.0,0.08680555555555555,0.0,65.0,3520.0,0.001736111111111111,0.0010416666666666667,0.0,83.08115255980537
10gen,natural_day_ahead,10,18,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,2393889.2936776374,2426690.7208228656,8921124.712530725,0.0,6527235.418853087,1641.732539877738,1741.2418452306815,179.99982552693592,1178.8821034313826,10851.135382049939,273.07255178362675,0.3125,0.0798611111111111,65.0,3560.0,0.06944444444444445,0.06145833333333333,1821.7323654046738,2920.1239486620643
RTS73,external,1,13,13,0.3,0.08,perfect,independent,0.0,0.0,0,65.0,5303653.287496868,5308503.72011305,16200.13372204148,0.0,-5287453.153774826,0.0,0.0,53.73462749999991,0.0,0.0,19.276228416666605,0.0,0.024305555555555556,0.0,29.130193300000002,0.12851978691019786,0.1363679604261796,53.73462749999991,0.0
RTS73,external,1,13,13,0.6,0.08,perfect,independent,0.0,0.0,0,65.0,18109.837315088054,18109.837315088054,1282.3000181525522,0.0,-16827.5372969355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6545124825,0.05431887366818874,0.05498477929984779,0.0,0.0
RTS73,external,1,15,13,0.3,0.08,perfect,independent,0.0,0.0,0,65.0,9096875.174235553,9106164.652959507,1324633.1571409581,0.0,-7772242.017094594,0.0,0.0,255.85925749999888,0.0,0.0,51.31274083333332,0.0,0.04513888888888889,0.0,3526.770312335,0.13641552511415525,0.1482115677321157,255.85925749999888,0.0
