system,study,month,day,horizon,ramp_multiplier,upward_adder_fraction,forecast_type,forecast_model,forecast_rho,sigma_rel,seed,shortage_penalty,generator,cost,capacity,flexibility,rp_bind,la_bind,rp_scarcity_flex,la_scarcity_flex,rp_utilization,la_utilization,rp_headroom,la_headroom,rp_margin_share,la_margin_share,loc_rp,loc_rp_energy,loc_la,loc_tlmp,delta_la_rp,emergency_rp_mwh,emergency_la_mwh,log_flex,log_capacity,loc_per_mw,relief_per_mw,y_loc,y_relief,z_rp_bind,z_log_flex,z_log_capacity,z_cost,z_rp_utilization,is_rts
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,315_STEAM_4,112.26770385,12.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0794415416798357,2.4849066497880004,0.0,0.0,0.0,0.0,-0.5122644716099094,-0.06270519880789859,-1.7303696679395384,1.8286215068954002,-0.7372826231352724,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,315_STEAM_5,112.26770385,12.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0794415416798357,2.4849066497880004,0.0,0.0,0.0,0.0,-0.5122644716099094,-0.06270519880789859,-1.7303696679395384,1.8286215068954002,-0.7372826231352724,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,315_CT_6,31.33876764,55.0,0.1009090909090909,0.0104166666666666,0.0138888888888888,0.1032282282282282,0.1376376376376376,0.0012012686868685,0.0021679846590909,0.9987987313131316,0.9978320153409092,0.0069444444444444,0.0069444444444444,3.345778844250006,3.3457788442500047,0.0,0.0,-3.345778844250006,0.0,0.0,-2.2935352574741277,4.007333185232471,0.06083234262272738,0.06083234262272738,0.05905382888242853,0.05905382888242853,-0.4582654964217866,-0.20901157555255098,-0.10500744046411228,-0.23724671374495118,-0.7344490329943005,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,315_CT_7,31.33876764,55.0,0.1009090909090909,0.0277777777777777,0.0138888888888888,0.2752752752752753,0.1376376376376376,0.0064098413131347,0.0021022727272727,0.9935901586868652,0.9978977272727272,0.0069444444444444,0.0069444444444444,8.058936548858824,8.058936548858817,0.0,0.0,-8.058936548858824,0.0,0.0,-2.2935352574741277,4.007333185232471,0.14652611907016044,0.14652611907016044,0.13673660462646164,0.13673660462646164,-0.3682672044415816,-0.20901157555255098,-0.10500744046411228,-0.23724671374495118,-0.7221628890169708,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,315_CT_8,31.33876764,55.0,0.1009090909090909,0.0416666666666666,0.0208333333333333,0.4129129129129129,0.2064564564564564,0.009810606060606,0.0024526515151515,0.990189393939394,0.9975473484848484,0.0069444444444444,0.0069444444444444,10.832880400875013,10.832880400875,0.0,0.0,-10.832880400875013,0.0,0.0,-2.2935352574741277,4.007333185232471,0.19696146183409113,0.19696146183409113,0.17978623043022005,0.17978623043022005,-0.2962685708574174,-0.20901157555255098,-0.10500744046411228,-0.23724671374495118,-0.7141410587923606,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,316_STEAM_1,23.6803874825,155.0,0.0290322580645161,0.4305555555555556,0.4479166666666667,14.830246913580249,15.42824074074074,0.3488190008355732,0.302751301859319,0.6511809991644267,0.6972486981406809,0.3194444444444444,0.3368055555555556,739.4291645556855,780.2568952609977,98.80831057806472,0.0,-640.6208539776208,0.0,0.0,-3.5393477201429735,5.043425116919247,4.770510739068938,4.133037767597553,1.7527605929057803,1.6356976413530757,1.7196931694991775,-1.0603691543594995,1.0011376842752469,-0.43274173604337784,0.08552254323260455,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,318_CC_1,29.14054473,355.0,0.0174929577464788,0.0590277777777777,0.0555555555555555,3.374373769905171,3.175881195204867,0.0047258899647887,0.0047315595950705,0.9952741100352112,0.9952684404049296,0.03125,0.0486111111111111,57.22568298640624,57.22568298640624,4.376739472192661,0.0,-52.84894351421358,0.0,0.0,-4.0459568935300325,5.872117789475416,0.16119910700396126,0.14887026342031995,0.1494531841394176,0.1387790798895265,-0.2062702788772124,-1.4065733963143685,1.8858606819371508,-0.29336062138200003,-0.7261350461128062,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,321_CC_1,27.670203765000004,355.0,0.0174929577464788,0.1944444444444444,0.1909722222222222,11.115584183217036,10.91709160851673,0.0470958044913927,0.0493251349667443,0.9529041955086072,0.9506748650332556,0.0972222222222222,0.1145833333333333,466.231536567126,466.23153656712606,69.09756237471407,0.0,-397.1339741924119,0.0,0.0,-4.0459568935300325,5.872117789475416,1.3133282720200732,1.1186872512462307,0.8386872979606336,0.7507966757770804,0.49571639856838756,-1.4065733963143685,1.8858606819371508,-0.3308939291869755,-0.6261915668655603,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,322_CT_5,31.1560683,55.0,0.1009090909090909,0.0381944444444444,0.0173611111111111,0.3785035035035035,0.172047047047047,0.0114893244949502,0.003159946780303,0.9885106755050498,0.9968400532196968,0.0208333333333333,0.0104166666666666,11.832298532962495,11.832298532962485,0.0174959106726166,0.0,-11.81480262228988,0.0,0.0,-2.2935352574741277,4.007333185232471,0.2151327005993181,0.21481459313254325,0.19485328942885652,0.19459146690339463,-0.3142682292534584,-0.20901157555255098,-0.10500744046411228,-0.24191046911001093,-0.7101812452577002,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,322_CT_6,31.1560683,55.0,0.1009090909090909,0.0486111111111111,0.0208333333333333,0.4817317317317317,0.2064564564564564,0.0171685606060606,0.0052567740530311,0.9828314393939396,0.9947432259469688,0.0208333333333333,0.0104166666666666,17.32308009337501,17.323080093375005,0.1788764781100988,0.0,-17.144203615264914,0.0,0.0,-2.2935352574741277,4.007333185232471,0.3149650926068184,0.31171279300481664,0.2738101197312429,0.2713337587873749,-0.26026925406533513,-0.20901157555255098,-0.10500744046411228,-0.24191046911001093,-0.6967848855351765,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,323_CC_1,29.281456455,355.0,0.0174929577464788,0.0486111111111111,0.0381944444444444,2.778896045804258,2.1834183217033463,0.0029762323943661,0.0032168925469482,0.9970237676056338,0.9967831074530518,0.0243055555555555,0.0277777777777777,42.919770254512514,42.919770254512514,0.7282093742518825,0.0,-42.19156088026063,0.0,0.0,-4.0459568935300325,5.872117789475416,0.12090076128031695,0.11884946726833981,0.11413261321349004,0.11230089594486754,-0.26026925406533513,-1.4065733963143685,1.8858606819371508,-0.2897635760206507,-0.7302621930998391,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,323_CC_2,29.281456455,355.0,0.0174929577464788,0.0486111111111111,0.0555555555555555,2.778896045804258,3.175881195204867,0.0029762323943661,0.0038873239436619,0.9970237676056338,0.996112676056338,0.0243055555555555,0.0277777777777777,42.919770254512514,42.919770254512514,2.796189784987508,0.0,-40.12358046952501,0.0,0.0,-4.0459568935300325,5.872117789475416,0.12090076128031695,0.11302417033669017,0.11413261321349004,0.10708078844277687,-0.26026925406533513,-1.4065733963143685,1.8858606819371508,-0.2897635760206507,-0.7302621930998391,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,121_NUCLEAR_1,2.025875,400.0,0.075,0.0138888888888888,0.0,0.1851851851851851,0.0,0.9966662522387154,0.9998987839574652,0.0033337477612846,0.0001012160425347,0.96875,0.9895833333333334,83.11883765333914,214.269668134948,0.0,0.0,-83.11883765333914,0.0,0.0,-2.5902671654458267,5.991464547107982,0.20779709413334785,0.20779709413334785,0.1887981169716871,0.1887981169716871,-0.44026583802574576,-0.41179085918916297,2.0132768214430246,-0.9855152094889464,1.613684897332704,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,122_HYDRO_1,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,122_HYDRO_2,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,122_HYDRO_3,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,122_HYDRO_4,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,122_HYDRO_5,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,122_HYDRO_6,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,201_HYDRO_4,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,215_HYDRO_1,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,215_HYDRO_2,0.0,50.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.621548645794748,1.0
RTS93,external93,10,13,13,0.3,0.16,perfect,independent,0.0,0.0,0,65.0,215_HYDRO_3,0.0,50.0,1.5,0.0,0.0,0.0,0.0,0.9989802182994946,1.0,0.0010197817005053,0.0,1.0,1.0,0.0,42.12626242708211,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,3.912023005428146,0.0,0.0,0.0,0.0,-0.5122644716099094,1.6354188546252855,-0.2067618191097883,-1.0372296021090317,1.6191431528321127,1.0
